volume,issue,start page,end page,year,doi,title,authors
1,24,154,155,1876,10.1155/1876/10127,On Some Coleoptera From Florida,"Schwarz, E. A."
1,11,52,56,1875,10.1155/1875/12089,Bibliographical Record,"Mann, B. Pickman"
1,17,99,100,1875,10.1155/1875/13434,On the Insect Founa of the White Mountains,"Grote, A. R."
1,4,13,14,1874,10.1155/1874/14506,Early Spring Butterflies at the White Mountains,"Scudder, S. H."
1,24,160,160,1876,10.1155/1876/14690,Proceedings of the Club,
1,12,57,59,1875,10.1155/1875/15751,A North Greenland Butterfly,"Scudder, Samuel H."
1,18,105,106,1875,10.1155/1875/17017,The Chrip of the Mole-Cricket,"Scudder, Samuel H."
1,4,16,16,1874,10.1155/1874/18078,"List of Lepidoptera Collected at Cliftondale and Wyoming, Mass., May 30, 1874","Morrison, H. K."
1,25,162,163,1876,10.1155/1876/18263,Synoptical Tables for Determining N. A. Insects,"Mann, B. Pickman"
1,12,64,64,1875,10.1155/1875/19325,Proceedings of the Club,"Mann, B. Pickman"
1,18,107,112,1875,10.1155/1875/20679,Bibliographical Record,"Mann, B. Pickman"
1,6,22,23,1874,10.1155/1874/21741,"List of Coleoptera Collected in the Vicinity of Cliftondale, Mass., June 12, 1873","Henshaw, Samuel"
1,25,168,168,1876,10.1155/1876/21926,Proceedings of the Club,
1,13,68,70,1875,10.1155/1875/23986,Varietes of Cleora Pulchraria Minot,"Morrison, H. K."
1,19,115,120,1875,10.1155/1875/25252,Bibliographical Record,"Mann, B. Pickman"
1,7,25,26,1874,10.1155/1874/26314,Summer Butterflies at the White Mountains,"Morrison, H. K."
1,26,172,176,1876,10.1155/1876/26497,Bibliographical Record,"Mann, B. Pickman"
1,14,73,76,1875,10.1155/1875/27569,On the Locolites and Habits of the Various Species of Omus,"Edwards, Henry"
1,20,121,125,1875,10.1155/1875/28915,On an Lmmense Flight of Small Butterflies (Terias Lisa) in the Bermudas,"Jones, J. Matthew"
1,8,29,30,1874,10.1155/1874/29875,"List of Sphingidae Taken About Newton, Mass.","Thaxter, Roland"
1,9,33,34,1875,10.1155/1875/30270,Re-discovery of Cicindela limbata Say,"Austin, E. P."
1,5,17,18,1874,10.1155/1874/31341,"List of Coleoptera Collected in the Vicinity of Cliftondale, Mass., June 12. 1873","Henshaw, Samuel"
1,21,129,131,1876,10.1155/1876/32587,Spiders Common to New England and Europe,"Emerton, J. H."
1,8,31,32,1874,10.1155/1874/34649,Bibliographical Record,"Mann, B. Pickman"
1,28,185,188,1876,10.1155/1876/34834,The Mandibles of the Larvae of Eros,"Moody, Henry L."
1,5,19,20,1874,10.1155/1874/35905,Bibliographical Record,"Mann, B. Pickman"
1,21,132,136,1876,10.1155/1876/37160,Bibliographical Record,"Mann, B. Pickman"
1,2,5,6,1874,10.1155/1874/38232,Notes on the Habits of Magdalinus armicpllis Say,"Hubbard, H. G."
1,29,193,194,1876,10.1155/1876/38407,Anatomy of the Plant-Lice,"Mark, Edward L."
1,14,78,80,1875,10.1155/1875/39478,Biblographical Record,"Mann, B. Pickman"
1,9,36,39,1875,10.1155/1875/41894,Bibliographical Record,"Mann, B. Pickman"
1,29,195,200,1876,10.1155/1876/42079,Bibliographical Record,"Mann, B. Pickman"
1,15,85,85,1875,10.1155/1875/43150,On the Insect Fauna of the White Mountains,"Morrison, H. K."
1,1,2,3,1874,10.1155/1874/45213,English Names for Butterflies,"Scudder, S. H."
1,22,144,144,1876,10.1155/1876/45395,Proceedings of the Club,
1,27,183,184,1876,10.1155/1876/45617,Proceedings of the Club,"Mann, B. Pickman"
1,10,41,43,1875,10.1155/1875/46468,Notes on White Mountain Noctuidae,"Morrison, H. K."
1,30,205,208,1876,10.1155/1876/46742,Bibliographical Record,"Mann, B. Pickman"
1,16,89,93,1875,10.1155/1875/47813,Notes on Luminous Larvae of Elateridae,"Mann, B. Pickman"
1,1,4,4,1874,10.1155/1874/48784,Interesting Capture,"Morrison, H. K."
1,23,148,151,1876,10.1155/1876/49068,Bibliographical Record,"Mann, B. Pickman"
1,16,94,96,1875,10.1155/1875/51484,Bibliographical Record,"Mann, B. Pickman"
1,3,9,10,1874,10.1155/1874/52547,Vernacular Names for Butterflies,"Behrens, James"
1,24,153,154,1876,10.1155/1876/52730,Lixus Rubellus Randall,"Blanchard, Frederick"
1,11,49,52,1875,10.1155/1875/53803,Description of the Larva of Galerita Janus,"Hubbard, H. G."
1,32,217,218,1876,10.1155/1876/53976,Bibliographical Record,"Mann, B. Pickman"
1,17,97,99,1875,10.1155/1875/56057,Bleaching the Wings of Lepidoptera,"Dimmock, Geo"
1,3,11,12,1874,10.1155/1874/57129,Bibliographical Record,"Mann, B. Pickman"
1,24,156,160,1876,10.1155/1876/57304,Bibliographical Record,"Mann, B. Pickman"
1,11,56,56,1875,10.1155/1875/58374,English Name of Butterflies,"Scudder, S. H."
1,17,100,104,1875,10.1155/1875/59620,Bibliographical Record,"Mann, B. Pickman"
1,4,15,16,1874,10.1155/1874/60792,Bibliographical Record,"Mann, B. Pickman"
1,25,161,162,1876,10.1155/1876/60967,The Aborted Wings of Boreus,"Moody, Henry L."
1,12,59,64,1875,10.1155/1875/62048,Bibliographical Record,"Mann, B. Pickman"
1,18,106,107,1875,10.1155/1875/63293,Hibernation of Amphipyra Pramidoides,"Thaxter, Roland"
1,6,21,22,1874,10.1155/1874/64364,On an Appendage of the Male Leucarctia Acraea,"Morrison, H. K."
