doi,volume,issue,start page,end page,title,authors
10.1155/1912/45893,19,3,97,97,A New Species of Emesidæ From Vermont,Nathan Banks
10.1155/1912/92180,19,3,97,97,Melanetærius Infernalis Fall,H. Bickhardt
10.1155/1913/25924,20,5,170,170,Merope Tuber in Massachusetts,C. W. Johnson
10.1155/1913/29495,20,5,170,170,A Question of Authorship,Frederick Knab
10.1155/1913/46076,20,6,205,205,Book Review,Charles T. Brues
10.1155/1913/72309,20,5,170,170,Mantispa Interrupta Say in New England,C. W. Johnson
10.1155/1913/87691,20,6,205,205,Note on Two Preoccupied Muscied Names,A. L. Melander
10.1155/1921/52645,28,1,7,7,A New Ptinid for New England,C. W. Johnson
10.1155/1921/98931,28,1,7,7,Sympetrum Corruptum in Massachusetts,A. P. Morse
10.1155/1925/48089,32,2,113,113,Note on Panurgidæ (Bees),Charles Robertson
10.1155/1925/94375,32,2,113,113,Another Instance of the Orthward Migration of Odonata in the Spring,R. Heber Howe
10.1155/1927/48041,34,2,134,134,Another Vagrant Grasshopper,Albert P. Morse
10.1155/1927/94318,34,2,134,134,The Bowditch Collection of Chrysomelidæ,N. Banks
10.1155/1929/48919,36,1,59,59,The Unexpected Acid Test,C. A. Frost
10.1155/1874/45213,1,1,2,3,English Names for Butterflies,S. H. Scudder
10.1155/1874/91598,1,1,3,4,Bibliographical Record,B. Pickman Mann
10.1155/1874/48784,1,1,4,4,Interesting Capture,H. K. Morrison
10.1155/1875/46468,1,10,41,43,Notes on White Mountain Noctuidae,H. K. Morrison
10.1155/1875/92845,1,10,43,44,English Names for Butterflies,S H. Scudder
10.1155/1875/96417,1,10,44,48,Biblographical Record,B. Pickman Mann
10.1155/1875/53803,1,11,49,52,Description of the Larva of Galerita Janus,H. G. Hubbard
10.1155/1875/12089,1,11,52,56,Bibliographical Record,B. Pickman Mann
10.1155/1875/58374,1,11,56,56,English Name of Butterflies,S. H. Scudder
10.1155/1875/15751,1,12,57,59,A North Greenland Butterfly,Samuel H. Scudder
10.1155/1875/62048,1,12,59,64,Bibliographical Record,B. Pickman Mann
10.1155/1875/19325,1,12,64,64,Proceedings of the Club,B. Pickman Mann
10.1155/1875/65710,1,13,65,68,On the Relation Between Europpean and American Noctuina,
10.1155/1875/23986,1,13,68,70,Varieties of Cleora Pulchraria Minot,H. K. Morrison
10.1155/1875/70383,1,13,70,72,Bibliographical Record,B. Pickman Mann
10.1155/1875/27569,1,14,73,76,On the Localities and Habits of the Various Species of Omus,Henry Edwards
10.1155/1875/82191,1,14,76,77,On the Insect Founa of the White Mountains,A. R. Grote
10.1155/1875/39478,1,14,78,80,Biblographical Record,B. Pickman Mann
10.1155/1875/85854,1,15,81,84,The Introduction of Danaida Plexippus into the Pacific Islands,Samuel H. Scudder
10.1155/1875/43150,1,15,85,85,On the Insect Fauna of the White Mountains,H. K. Morrison
10.1155/1875/90527,1,15,86,88,Bibliographical Record,B. Pickman Mann
10.1155/1875/47813,1,16,89,93,Notes on Luminous Larvae of Elateridae,B. Pickman Mann
10.1155/1875/94098,1,16,93,94,The Note of the Katydid,Samuel H. Scudder
10.1155/1875/51484,1,16,94,96,Bibliographical Record,B. Pickman Mann
10.1155/1875/97671,1,16,96,96,Proceedings of the Club,
10.1155/1875/56057,1,17,97,99,Bleaching the Wings of Lepidoptera,Geo Dimmock
10.1155/1875/13434,1,17,99,100,On the Insect Fauna of the White Mountains,A. R. Grote
10.1155/1875/59620,1,17,100,104,Bibliographical Record,B. Pickman Mann
10.1155/1875/17017,1,18,105,106,The Chirp of the Mole-Cricket,Samuel H. Scudder
10.1155/1875/63293,1,18,106,107,Hibernation of Amphipyra pramidoides,Roland Thaxter
10.1155/1875/20679,1,18,107,112,Bibliographical Record,B. Pickman Mann
10.1155/1875/67956,1,19,113,115,On a Supposed Case of Seasonal Dimorphism Among Diptera,C. R. Osten Sacken
10.1155/1875/25252,1,19,115,120,Bibliographical Record,B. Pickman Mann
10.1155/1875/71628,1,19,120,120,Proceedings of the Club,
10.1155/1874/38232,1,2,5,6,Notes on the Habits of Magdalinus armicollis Say,H. G. Hubbard
10.1155/1874/95171,1,2,7,7,Collecting in the White Mountains,Samuel H. Scudder
10.1155/1874/83658,1,2,7,8,Bibliographical Record,B. Pickman Mann
10.1155/1875/28915,1,20,121,125,On an Immense Flight of Small Butterflies (Terias Lisa) in the Bermudas,J. Matthew Jones
10.1155/1875/75202,1,20,125,128,Bibliographical Record,B. Pickman Mann
10.1155/1876/32587,1,21,129,131,Spiders Common to New England and Europe,J. H. Emerton
10.1155/1876/79764,1,21,131,131,Arctic Lepidoptera in the White Mountains,A. R. Grote
10.1155/1909/71301,16,2,31,31,Chrysophanid Notes,K. R. Coolidge
10.1155/1909/74863,16,2,34,35,Notes on Tachinid Parasites of Chrysomelidae,Frederick Knab
10.1155/1909/79437,16,3,43,48,Notes on Our Species of Emesidae,Nathan Banks
10.1155/1909/83120,16,3,58,64,"Incidental Captures of Lepidoptera at Plano, Texas",E. S. Tucker
10.1155/1909/86782,16,3,67,68,Coleoptera Taken at Framingham,C. A. Frost
